E0,E,diff,log(diff)
0.5000000000000308,0.500000000000022,8.770761894538737e-15,-14.056962678900561
1.8462309376513153,1.8462309376512371,7.815970093361102e-14,-13.107017111048892
3.9363376097055656,3.9363376097057805,-2.149391775674303e-13,-12.667684417218629
6.799665277815471,6.79966527781549,-1.865174681370263e-14,-13.729280488465141
10.448046575287828,10.448046575287728,9.947598300641403e-14,-13.002281760528879
14.887065996873584,14.887065996873563,2.1316282072803006e-14,-13.671288541487455
20.119720824009175,20.119720824009306,-1.3145040611561853e-13,-12.881238067804102
26.147783843070638,26.147783843070712,-7.460698725481052e-14,-13.127220497137179
32.97238355306372,32.972383553063615,1.0658141036401503e-13,-12.972318537151436
40.594280208136695,40.594280208136524,1.7053025658242404e-13,-12.76819855449551
