n,Original_Energy,Ecorr,Diff,Log_Diff
1,0.5000000000000308,0.5368449341662177,0.03684493416618695,-3.3010371415421638
2,1.8462309376513153,1.8748907682707023,0.02865983061938704,-3.5522587666000276
3,3.9363376097055656,3.9562309088493395,0.019893299143773913,-3.917372330400291
4,6.799665277815471,6.814044978107547,0.014379700292075803,-4.241937768903944
5,10.448046575287828,10.45892056040923,0.010873985121401475,-4.5213820285321535
6,14.887065996873584,14.895599406494922,0.00853340962133764,-4.763766276204187
7,20.119720824009175,20.126617113509212,0.006896289500037511,-4.976771765638008
8,26.147783843070638,26.15348921785808,0.005705374787442707,-5.166346603269764
9,32.97238355306372,32.97719405888361,0.004810505819889954,-5.336953040333118
10,40.594280208136695,40.598399991634324,0.0041197834976287595,-5.491954666120688
